IC(A)_25℃,Eon(mJ)_25℃,IC(A)_25℃,Eoff(mJ)_25℃,IC(A)_150℃,Eon(mJ)_150℃,IC(A)_150℃,Eoff(mJ)_150℃,IC(A)_175℃,Eon(mJ)_175℃,IC(A)_175℃,Eoff(mJ)_175℃
50,2.17,50,8.1,50,3.14,50,11.31,50,3.38,50,11.86
100,3.11,100,12.17,100,4.38,100,18.6,100,4.84,100,18.21
200,4.68,200,17.85,200,6.75,200,24.11,200,7.2,200,25.84
300,6.35,300,21.56,300,8.85,300,32.59,300,9.31,300,33.41
400,7.84,400,26.96,400,11.01,400,37.48,400,11.89,400,39.67
450,8.67,450,30.29,450,12.18,450,40.45,450,13.16,450,43.66
500,9.6,500,32.61,500,13.35,500,43.33,500,14.46,500,46.06
600,11.32,600,37.72,600,15.06,600,51.39,600,17.03,600,54.26
700,12.92,700,44.42,700,17.01,700,58.03,700,19.59,700,61.17
800,14.39,800,51.12,800,19.18,800,65.98,800,21.98,800,69.52
900,16.13,900,58.9,900,22.01,900,74.75,900,25.35,900,78.66
1000,18.09,1000,66.91,1000,24.88,1000,85.09,1000,28.52,1000,87.98
1100,20.25,1100,75.91,1100,27.73,1100,94.14,1100,30.99,1100,96.69
1200,22.58,1200,86.74,1200,30.14,1200,101.04,1200,34.21,1200,104.82
1300,23.78,1300,93.98,1300,32.43,1300,107.33,1300,35.66,1300,112.96
